pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.34622,0.39012,0.36763,0.38975,0.36349,0.36036,0.37473,0.3932
-0.088322,0.16017,0.34458,0.33333,0.35433,0.36787,0.36401,0.37509,0.36711,0.36738
-0.040403,0.11323,0.33661,0.33347,0.35638,0.37125,0.36588,0.3783,0.37385,0.39148
0.01682,0.057014,0.33961,0.37585,0.34641,0.35484,0.34926,0.35072,0.34351,0.3542
0.022073,0.054167,0.34403,0.3523,0.3597,0.37671,0.35779,0.35528,0.35601,0.39078
0.032144,0.04635,0.33291,0.35925,0.35697,0.37222,0.36227,0.36621,0.3624,0.39641
0.024736,0.054002,0.32471,0.33333,0.33983,0.34402,0.34001,0.34474,0.33525,0.34499
0.019743,0.05961,0.3493,0.39128,0.33517,0.33613,0.33545,0.337,0.33366,0.33087
-0.0010996,0.082339,0.35503,0.36182,0.35605,0.37071,0.36064,0.36142,0.36429,0.37783
0.021637,0.060832,0.30032,0.33732,0.32323,0.31671,0.31977,0.3216,0.30292,0.28477
0.048924,0.034507,0.29971,0.33333,0.32824,0.32495,0.32973,0.3417,0.32954,0.25035
0.039992,0.047549,0.28238,0.33333,0.31804,0.30817,0.31928,0.33466,0.31239,0.22852
0.021723,0.068562,0.31876,0.33333,0.34522,0.35289,0.34093,0.35109,0.33462,0.26983
0.038983,0.051955,0.3168,0.33479,0.35831,0.37442,0.34288,0.35296,0.33292,0.28882
0.030918,0.06213,0.34576,0.38079,0.33026,0.32827,0.33312,0.33505,0.3342,0.30406
0.015105,0.081425,0.31975,0.33333,0.3325,0.33197,0.33369,0.3346,0.33332,0.28126
0.011162,0.085051,0.32942,0.33333,0.36873,0.39157,0.36243,0.35828,0.34905,0.3289
0.022585,0.074267,0.33833,0.33594,0.34556,0.35345,0.34771,0.34499,0.33651,0.3416
0.010312,0.086918,0.32118,0.33465,0.32486,0.31939,0.32787,0.32882,0.3236,0.27287
0.028983,0.068258,0.33164,0.34083,0.35244,0.36476,0.34398,0.34533,0.33859,0.32261
0.03087,0.068932,0.31397,0.33333,0.34862,0.35847,0.3444,0.34438,0.33776,0.28185
0.012942,0.085258,0.31851,0.33333,0.32687,0.32271,0.32883,0.34027,0.34842,0.24841
0.043961,0.051217,0.33897,0.34426,0.36398,0.38375,0.3508,0.328,0.33911,0.24836
0.024334,0.076279,0.33648,0.33333,0.38826,0.42369,0.37563,0.33457,0.34296,0.24193
-0.0052706,0.10853,0.32163,0.33333,0.35066,0.36183,0.34608,0.33581,0.34082,0.25453
0.0073574,0.095059,0.31477,0.33333,0.33017,0.32813,0.32907,0.33212,0.334,0.2517
0.023517,0.076027,0.30675,0.33566,0.34387,0.35066,0.33298,0.3418,0.34616,0.25552
0.014837,0.081449,0.31236,0.33333,0.33295,0.3327,0.32907,0.33963,0.34186,0.25181
0.010269,0.084772,0.33382,0.33333,0.32869,0.3257,0.32895,0.33465,0.34847,0.25706
0.014835,0.078668,0.35397,0.35691,0.34892,0.35897,0.34124,0.32873,0.34837,0.27052
-0.008665,0.10212,0.35413,0.33333,0.34998,0.36072,0.33461,0.31993,0.33647,0.27846
-0.0041867,0.095631,0.3472,0.33333,0.34109,0.3461,0.33242,0.32743,0.35366,0.24938
-0.014861,0.10499,0.33626,0.33271,0.34322,0.34959,0.33924,0.33066,0.35624,0.25759
-0.009283,0.096746,0.34229,0.35268,0.35192,0.36391,0.34539,0.33669,0.35536,0.2947
0.012639,0.073134,0.36663,0.33385,0.35062,0.36177,0.34699,0.3361,0.36452,0.2813
0.026532,0.059946,0.35852,0.33333,0.34175,0.34719,0.34048,0.33195,0.35187,0.26459
0.025618,0.055776,0.31672,0.33333,0.33213,0.33135,0.33218,0.33171,0.35017,0.24929
0.010873,0.069176,0.32032,0.33905,0.33429,0.33491,0.33294,0.33153,0.33128,0.26974
0.0083781,0.072367,0.34496,0.35773,0.34554,0.35417,0.34053,0.32974,0.33582,0.32428
0.0044582,0.075495,0.41302,0.3458,0.50136,0.59886,0.47984,0.33028,0.35352,0.298
-0.012708,0.10155,0.3508,0.33333,0.39658,0.43678,0.38208,0.34351,0.35114,0.30006
0.0153,0.075137,0.32847,0.33333,0.33795,0.34092,0.32612,0.31474,0.3082,0.29379
0.022758,0.059322,0.3209,0.33333,0.33282,0.33248,0.33132,0.33094,0.34512,0.26639
0.0024671,0.073577,0.30843,0.33333,0.3337,0.33394,0.3316,0.33315,0.33086,0.2723
-0.015219,0.089359,0.30233,0.33333,0.34482,0.35224,0.33392,0.32136,0.31399,0.25056
-0.0020717,0.07709,0.31226,0.33333,0.36237,0.38111,0.34598,0.3525,0.34396,0.29455
-0.018143,0.095844,0.31222,0.33333,0.34434,0.35144,0.32949,0.3277,0.31932,0.26365
-0.016932,0.097925,0.31003,0.33333,0.34258,0.34855,0.33336,0.33491,0.34253,0.24903
0.010703,0.068928,0.32951,0.33333,0.34719,0.35614,0.34053,0.34645,0.3606,0.26554
0.019335,0.063233,0.33651,0.33333,0.34262,0.34862,0.33554,0.33904,0.35314,0.28152
0.010942,0.073451,0.35259,0.33333,0.35125,0.36281,0.34598,0.3512,0.36611,0.33695
0.0098588,0.074383,0.32777,0.33333,0.34891,0.35897,0.34357,0.35025,0.34845,0.30456
0.0074277,0.079639,0.30953,0.33333,0.34413,0.3511,0.33898,0.34287,0.32896,0.3182
0.04011,0.050825,0.31821,0.33333,0.33916,0.34292,0.33556,0.34555,0.3358,0.29475
0.056024,0.040536,0.33302,0.33333,0.36495,0.38535,0.35904,0.37029,0.37308,0.3211
0.037933,0.059994,0.34412,0.33333,0.39187,0.42964,0.38033,0.36972,0.36632,0.35345
0.024446,0.078151,0.35726,0.33333,0.42579,0.48544,0.4097,0.35107,0.3476,0.3495
