pleasantness,eventfulness,FGfeat,birds,speech,child,bike,scooter,car,heavy
-0.052554,0.12443,0.33084,0.33333,0.33333,0.33333,0.33213,0.33152,0.33759,0.30945
-0.13633,0.2043,0.34971,0.33333,0.33333,0.33333,0.33333,0.33333,0.34467,0.30744
-0.14716,0.22385,0.32988,0.33333,0.33516,0.33634,0.33364,0.33179,0.33413,0.32204
-0.12223,0.19819,0.35512,0.33333,0.34421,0.35123,0.34245,0.33309,0.3337,0.33666
-0.078651,0.15431,0.34828,0.33333,0.34813,0.35768,0.34565,0.33246,0.3298,0.31753
-0.090121,0.16396,0.36293,0.33333,0.34453,0.35175,0.34373,0.33264,0.34336,0.34305
-0.09292,0.16634,0.33041,0.33333,0.34071,0.34547,0.34089,0.3326,0.33138,0.33791
-0.07361,0.14389,0.34305,0.33333,0.34459,0.3516,0.34366,0.3293,0.32871,0.31005
-0.089682,0.15518,0.3453,0.33333,0.33818,0.3426,0.33986,0.33277,0.32985,0.28678
-0.087536,0.1497,0.30579,0.33333,0.33262,0.33216,0.33308,0.3295,0.31478,0.29027
-0.10144,0.16186,0.31876,0.33333,0.33591,0.33758,0.334,0.32378,0.30545,0.30825
-0.1025,0.16218,0.28365,0.33333,0.33048,0.32865,0.32845,0.32122,0.2965,0.26842
-0.097395,0.15848,0.30225,0.33333,0.32941,0.32688,0.32148,0.30969,0.28184,0.26144
-0.072786,0.13267,0.29457,0.33333,0.34285,0.34898,0.33263,0.31276,0.27891,0.28573
-0.084023,0.14408,0.29734,0.33333,0.3396,0.34364,0.33561,0.32174,0.28054,0.30451
-0.08991,0.14828,0.33369,0.33604,0.35565,0.37004,0.3498,0.3222,0.29556,0.34495
-0.09211,0.15086,0.32321,0.33333,0.33436,0.33502,0.33129,0.31362,0.28295,0.33926
-0.093891,0.15077,0.33334,0.33333,0.34289,0.34905,0.33937,0.31676,0.28258,0.35126
-0.081068,0.13501,0.32757,0.33333,0.33988,0.3441,0.32816,0.29962,0.26913,0.32946
-0.089921,0.14218,0.29854,0.33333,0.3385,0.34183,0.33036,0.30877,0.27896,0.3276
-0.097386,0.15008,0.32265,0.33333,0.34005,0.34438,0.3328,0.31137,0.27912,0.33758
